Epoch,Training Loss,Validation Loss,Training Loss,Validation Loss,1 layer,2 layer,3 layer,4 layer,5 layer,12 layer,1 neuron,5 neuron,10 neuron,30 neuron
20,1.201209,1.304234,0.76877376,0.80174176,3.82154176,3.070833408,2.481866726,2.005493381,1.643994705,0.721567584,6.30451264,4.2630272,3.83191312,2.167801204
21,1.196906,1.274509,0.76601984,0.7908528,3.8265028,3.06440224,2.478321792,2.008657434,1.640125947,0.71176752,6.2957042,4.2611035,3.835152975,2.164321458
22,1.199426,1.417846,0.76763264,0.83752704,3.86182704,3.091061632,2.497249306,2.022999444,1.633599556,0.753774336,6.35964056,4.3107338,3.87405373,2.169026405
23,1.19858,1.248902,0.7670912,0.78319424,3.78414424,3.066515392,2.487212314,2.000569851,1.640055881,0.704874816,6.26606636,4.2251053,3.794384505,2.157065765
24,1.193304,1.256706,0.76371456,0.7840032,3.7996032,3.04648256,2.472786048,1.983428838,1.607543071,0.70560288,6.2742048,4.236904,3.8089284,2.133415257
25,1.19399,1.328563,0.7641536,0.80721696,3.81626696,3.063813568,2.466650854,2.007720684,1.610176547,0.726495264,6.30535044,4.2608087,3.827402395,2.140302978
26,1.196402,1.294529,0.76569728,0.79709792,3.82519792,3.092558336,2.478046669,1.989237335,1.605389868,0.717388128,6.29929688,4.2622474,3.83446029,2.136761374
27,1.194016,1.2497,0.76417024,0.78198912,3.77993912,3.043151296,2.465721037,1.984576829,1.595261464,0.703790208,6.26115868,4.2205489,3.790091565,2.120318951
28,1.194457,1.32487,0.76445248,0.80618464,3.83758464,3.098467712,2.48237417,2.014299336,1.639839469,0.725566176,6.31377696,4.2756808,3.84710868,2.167007735
29,1.197655,1.292919,0.7664992,0.79698368,3.81383368,3.057066944,2.452053555,1.990842844,1.622274275,0.717285312,6.29230052,4.2530671,3.823642035,2.14843284
30,1.19341,1.282919,0.7637824,0.79242528,3.78992528,3.040340224,2.436272179,1.967417743,1.605934195,0.713182752,6.27538792,4.2326566,3.80060811,2.131278676
31,1.189339,1.237937,0.76117696,0.77672832,3.81047832,3.060382656,2.452706125,1.9937649,1.62741192,0.699055488,6.26956748,4.2400229,3.817864465,2.149934116
32,1.194875,1.215056,0.76472,0.77117792,3.77677792,3.035822336,2.448657869,1.990526295,1.598021036,0.694060128,6.24676688,4.2117724,3.78552654,2.120771309
33,1.191871,1.298422,0.76279744,0.79689376,3.81034376,3.055075008,2.482060006,2.018048005,1.647238404,0.717204384,6.28886564,4.2496047,3.820158995,2.167711663
34,1.188118,1.228704,0.76039552,0.77338304,3.77788304,3.033506432,2.444805146,1.956644116,1.594115293,0.696044736,6.24872456,4.2133038,3.78673823,2.117952994
35,1.193737,1.245162,0.76399168,0.78044768,3.78839768,3.057518144,2.478814515,2.022651612,1.62452129,0.702402912,6.26064652,4.2245221,3.797428785,2.144521452
36,1.190167,1.249492,0.76170688,0.78069088,3.80569088,3.065752704,2.482202163,1.986161731,1.609729384,0.702621792,6.26913632,4.2374136,3.81362156,2.135266227
37,1.187643,1.273749,0.76009152,0.78764544,3.82089544,3.062316352,2.481053082,1.987642465,1.603313972,0.708880896,6.28329316,4.2520943,3.828695155,2.133070038
